NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12
1366;23/10/2020;77000000;10;15;19;21;23;3;12;27330545;0;3;26;31;1410;1612;3375;22625;49699;124813;110757;622490;0;1;6;4;304;292;855;4271;10719;27543;19732;126094;0;261553,3;7053,3;1842,6;74,6;69;23,1;17,2;8,7;6,5;8,8;4,9
1365;20/10/2020;64000000;5;6;15;37;42;3;4;19791081;0;3;7;23;586;1151;1286;18004;28060;58880;97757;426910;0;1;3;3;110;225;230;3375;5359;10998;18169;82769;0;189400,6;18971,1;1798,4;130;69,9;44;15,7;11,2;9,9;7,2;5,2
1364;16/10/2020;53000000;15;33;38;40;50;3;6;25705165;0;1;5;50;691;1693;1440;26653;31378;67950;157351;486562;0;1;0;5;122;316;257;5351;5536;12004;34606;90154;0;737995,3;34496,3;1074,4;143,2;61,7;51;13,7;13;11,2;5,8;5,9
1363;13/10/2020;39000000;5;14;38;41;46;1;10;18207802;0;1;1;19;410;949;1067;12725;19911;51243;72442;296170;0;0;0;1;90;193;205;2594;3973;9928;14613;60077;0;522745,9;122174,3;2002,8;170,9;78;48,8;20,4;14,5;10,5;9;6,9
1362;09/10/2020;29000000;11;15;35;41;50;5;8;24184211;0;2;3;44;677;1993;1365;31728;31487;62584;180330;477696;0;0;0;2;97;370;260;6064;5685;12002;36411;91006;0;347164,3;54092;1148,7;137,5;49,3;50,6;10,8;12,2;11,4;4,8;5,7
1361;06/10/2020;17000000;4;21;36;41;47;9;11;17253155;0;3;5;16;395;887;943;13056;19244;43992;73158;295086;0;0;1;2;61;159;171;2347;3349;7959;13176;54207;0;165112,6;23153,7;2253,6;168,1;79,1;52,3;18,8;14,2;11,6;8,4;6,6
1360;02/10/2020;29000000;6;12;15;40;45;3;9;24777925;0;1;6;16;450;857;1430;11989;19701;59701;64119;278746;0;0;0;5;81;133;253;2019;3468;11716;11140;52294;30627859;88921,7;20782,4;1078,8;125,1;45,9;47,1;10,9;11,3;10;5,2;5,3
1359;29/09/2020;17000000;4;14;16;41;44;11;12;17829272;0;1;6;16;450;857;1430;11989;19701;59701;64119;278746;0;0;0;5;81;133;253;2019;3468;11716;11140;52294;0;511878,3;19939;2328,9;152,5;84,6;35,6;21,2;14,4;8,8;10;7,2
1358;25/09/2020;130000000;19;23;34;37;45;1;7;43024706;1;5;25;78;1590;3162;3694;44420;63635;142425;237240;867562;0;0;5;16;374;812;801;10810;14416;30469;59230;195280;130000000;247047,8;11547,8;1152,8;104,1;55,3;33,3;13,8;10,7;8,9;6,5;5,6
1357;22/09/2020;76000000;16;25;28;39;40;1;6;21591605;0;5;3;21;600;1285;1443;20023;27225;64322;107403;404454;0;1;0;7;110;217;234;3967;5224;12008;21562;78996;0;123979;48293,2;2148,8;138,5;68,3;42,7;15,4;12,6;9,9;7,2;6
1356;18/09/2020;67000000;2;10;19;25;45;1;7;28930000;0;3;7;36;655;1541;1344;22037;29331;60360;113496;414876;0;0;1;6;96;302;254;4582;5817;11904;23906;83183;0;166116;32353,3;991,2;96,1;48,5;33,9;12,4;9,8;8,4;6,2;5
1355;15/09/2020;50000000;16;20;25;30;38;6;8;19694044;0;3;7;36;655;1541;1344;22037;29331;60360;113496;414876;0;0;1;6;96;302;254;4582;5817;11904;23906;83183;0;188472;18878,1;1143,3;115,7;52;41,9;12,7;10,7;9,6;6,2;5,3
1354;11/09/2020;40000000;34;38;42;43;45;9;12;24547218;0;2;8;25;580;1055;1426;16223;25778;62894;88055;389847;0;1;0;7;118;207;300;2921;4868;13238;15678;72176;0;352375,3;20588,9;2052,1;162,9;94,6;49,2;21,6;15,1;11,5;10;7,1
